application_number,funding_year,state,form_version,window_status,status,category,application_name,address1,city,zipcode,entity_number,fcc_number,applicant_type,enrollment,nslp_count,nslp_percent,locale,request_amount,congress_district
201012411,2020,OH,Original,In Window,Certified,Category1,Rock Hill Local School Dist,2325a County Road 26,Ironton,45638,130025,8114357,School District,1402,1402,100.00%,Rural,"$24,840.00",Congressional District 6
201046202,2020,OH,Original,In Window,Certified,Category1,Southington School District,2482 State Route 534,Southington,44470,129622,2922540,School District,482,229,48.00%,Rural,"$20,739.60",Congressional District 13
201012401,2020,OH,Original,In Window,Certified,Category1,Hopewell-Loudon Local Sch Dist,181 N County Road 7,Bascom,44809,129722,10044055,School District,823,152,18.00%,Rural,"$16,320.00",Congressional District 4
201046224,2020,OH,Original,In Window,Certified,Category1,Kalida Local School District,301 N 3rd St,Kalida,45853,130134,12154514,School District,600,50,8.00%,Rural,"$11,400.00",Congressional District 5
201012902,2020,OH,Original,In Window,Certified,Category1,Columbus Grove School District,201 W Cross St,Columbus Grove,45830,130116,14070197,School District,844,219,26.00%,Rural,"$13,680.00",Congressional District 5
201008982,2020,OH,Original,In Window,Certified,Category1,Amanda-Clearcreek School Dist,328 East Main Street,Amanda,43102,129121,11949542,School District,1434,549,38.00%,Rural,"$12,625.20",Congressional District 15
201045751,2020,OH,Original,In Window,Certified,Category1,Van Wert City School District,205 W Crawford St,Van Wert,45891,130172,5670021,School District,2109,925,44.00%,Rural,"$29,400.00",Congressional District 5
201012919,2020,OH,Original,In Window,Certified,Category1,Central Local School District,6289 Us Highway 127,Sherwood,43556,129297,2914364,School District,930,307,33.00%,Rural,"$18,494.50",Congressional District 5
201012774,2020,OH,Original,In Window,Certified,Category1,Buckeye Central Local School District,938 S Kibler St,New Washington,44854,129758,21499827,School District,584,214,37.00%,Rural,"$21,210.00",Congressional District 4
201009113,2020,OH,Original,In Window,Certified,Category1,Madison Plains Local Sch Dist,55 Linson Rd,London,43140,129148,7217318,School District,1146,481,42.00%,Rural,"$12,490.80",Congressional District 15
201030331,2020,OH,Original,In Window,Certified,Category1,Margaretta Local School Dist,305 S Washington St,Castalia,44824,129735,2916849,School District,1146,468,41.00%,Urban,"$26,892.00",Congressional District 9
201012809,2020,OH,Original,In Window,Certified,Category1,Winton Woods City Sch District,825 Waycross Rd - Suite A,Cincinnati,45240,129887,2993525,School District,3933,2831,72.00%,Urban,"$49,763.32",Congressional District 1
201012777,2020,OH,Original,In Window,Certified,Category1,Medina County Schools Esc,124 W Washington St,Medina,44256,129549,12137360,School District,13,0,0.00%,Urban,"$2,700.00",Congressional District 16
201010282,2020,OH,Original,In Window,Certified,Category1,Shadyside Local School Dist,3890 Lincoln Ave,Shadyside,43947,129377,4844361,School District,805,212,26.00%,Urban,"$15,540.00",Congressional District 6
201001872,2020,OH,Original,In Window,Certified,Category1,Lakota Local School District,5200 County Road 13,Kansas,44841,129252,2917201,School District,1097,416,38.00%,Rural,"$21,210.00",Congressional District 4
201021813,2020,OH,Original,In Window,Certified,Category1,Athens-Meigs Educational Service Center,21 Birge Dr,Chauncey,45719,198756,13232236,School District,10,10,100.00%,Rural,"$29,343.60",Congressional District 15
201023855,2020,OH,Original,In Window,Certified,Category1,Sandusky School District,407 Decatur St,Sandusky,44870,129766,13968268,School District,3100,2915,94.00%,Urban,"$34,271.75",Congressional District 9
201004321,2020,OH,Original,In Window,Certified,Category1,Muskingum Valley Ed Serv Cent,205 N 7th St,Zanesville,43701,129322,11820354,School District,172,138,80.00%,Rural,"$26,340.76",Congressional District 12
201045623,2020,OH,Original,In Window,Certified,Category1,Zane Trace Local School Dist,946 State Route 180,Chillicothe,45601,130005,9340589,School District,1248,550,44.00%,Rural,"$18,424.06",Congressional District 15
201044566,2020,OH,Original,In Window,Certified,Category1,West Clermont Local Sch Dist,4350 Aicholtz Road Suite 220,Cincinnati,45245,129893,2991529,School District,8360,2672,32.00%,Urban,"$18,000.00",Congressional District 2
201010606,2020,OH,Original,In Window,Certified,Category1,Ross Local School District,3371 Hamilton-Cleves Rd.,Hamilton,45013,129804,13064779,School District,2691,555,21.00%,Rural,"$27,273.60",Congressional District 8
201010772,2020,OH,Original,In Window,Certified,Category1,Finneytown Local School Dist,8916 Fontainebleau Ter,Cincinnati,45231,129883,2993558,School District,1329,645,49.00%,Urban,"$18,301.46",Congressional District 2
201036354,2020,OH,Original,In Window,Certified,Category1,Anna Local School District,1 Mcrill Way,Anna,45302,129899,2918712,School District,1194,160,13.00%,Rural,"$13,008.00",Congressional District 4
201023164,2020,OH,Original,In Window,Certified,Category1,Mahoning Co Supt Of Schools,7320 North Palmyra Rd.,Canfield,44406,129636,12475638,School District,33,22,67.00%,Urban,"$4,000.22",Congressional District 6
201030351,2020,OH,Original,In Window,Certified,Category1,Bellevue City School District,125 North St,Bellevue,44811,129724,14508972,School District,1929,748,39.00%,Rural,"$23,184.00",Congressional District 4
201010597,2020,OH,Original,In Window,Certified,Category1,Muskingum Valley Ed Serv Cent,205 N 7th St,Zanesville,43701,129322,11820354,School District,172,138,80.00%,Rural,"$3,229.20",Congressional District 12
201030353,2020,OH,Original,In Window,Certified,Category1,Lincolnview School District,15945 Middle Point Rd,Van Wert,45891,130173,11826609,School District,819,256,31.00%,Rural,"$10,440.00",Congressional District 5
201006597,2020,OH,Original,In Window,Certified,Category1,Mathews Local School District,4096 Cadwallader Sonk Road,Cortland,44410,129624,12326062,School District,601,246,41.00%,Rural,"$33,024.43",Congressional District 14
201011172,2020,OH,Original,In Window,Certified,Category1,Edison Local School District,140 Main St S,Milan,44846,129752,2916666,School District,1507,510,34.00%,Rural,"$25,390.58",Congressional District 4
201009016,2020,OH,Original,In Window,Certified,Category1,Versailles School District,"Po Box 313, 459 South Center Street",Versailles,45380,129960,11863297,School District,1334,149,11.00%,Rural,"$10,608.00",Congressional District 8
201007345,2020,OH,Original,In Window,Certified,Category1,Dayton Leadership Academies,1416 W Riverview Ave,Dayton,45402,208785,13301304,School District,414,414,100.00%,Urban,"$10,800.00",Congressional District 10
201012885,2020,OH,Original,In Window,Certified,Category1,Napoleon Area City Sch Dist,701 Briarheath Ave Ste 108,Napoleon,43545,129289,7405517,School District,1792,744,42.00%,Rural,"$21,280.06",Congressional District 5
201011496,2020,OH,Original,In Window,Certified,Category1,Ottawa-Glandorf School Dist,630 Glendale Ave,Ottawa,45875,130150,9414012,School District,1489,306,21.00%,Rural,"$17,136.00",Congressional District 5
201011492,2020,OH,Original,In Window,Certified,Category1,Bloom-Vernon Local School Dist,P.O. Box 237,South Webster,45682,130056,12426441,School District,820,439,54.00%,Rural,"$22,080.00",Congressional District 6
201011661,2020,OH,Original,In Window,Certified,Category1,Millcreek-West Unity Loc Dist,1401 West Jackson St,West Unity,43570,129308,14413298,School District,491,198,40.00%,Rural,"$15,820.06",Congressional District 5
201030050,2020,OH,Original,In Window,Certified,Category1,Pioneer Career & Tech Center,27 Ryan Rd,Shelby,44875,49307,12947347,School District,1074,450,42.00%,Rural,"$47,909.40",Congressional District 7
201030571,2020,OH,Original,In Window,Certified,Category1,Ridgedale Local School Dist,3105 Hillman Ford Rd,Morral,43337,129207,12137725,School District,670,317,47.00%,Rural,"$11,256.00",Congressional District 4
201011830,2020,OH,Original,In Window,Certified,Category1,Norton City School District,4128 Cleveland Massillon Rd,Norton,44203,129524,8526790,School District,2527,843,33.00%,Urban,"$30,272.70",Congressional District 16
201046299,2020,OH,Original,In Window,Certified,Category1,Margaretta Local School Dist,305 S Washington St,Castalia,44824,129735,2916849,School District,1146,468,41.00%,Urban,"$32,868.00",Congressional District 9
201011121,2020,OH,Original,In Window,Certified,Category1,Hardin-Houston Local Sch Dist,5300 Houston Rd,Houston,45333,129927,11897626,School District,860,240,28.00%,Rural,"$12,729.60",Congressional District 4
201046200,2020,OH,Original,In Window,Certified,Category1,Belmont-Harrison Voc Sch Dist,110 Fox Shannon Pl,St Clairsville,43950,129380,6236640,School District,486,267,55.00%,Urban,"$44,064.00",Congressional District 6
201028597,2020,OH,Original,In Window,Certified,Category1,Northwest Local School Dist,3240 Banning Rd,Cincinnati,45239,129886,11685740,School District,8774,5106,58.00%,Urban,"$129,843.94",Congressional District 1
201030400,2020,OH,Original,In Window,Certified,Category1,Buckeye Valley Local Sch Dist,679 Coover Rd,Delaware,43015,129065,12352696,School District,2309,418,18.00%,Rural,"$26,095.26",Congressional District 12
201023537,2020,OH,Original,In Window,Certified,Category1,Lancaster City School District,345 E Mulberry St,Lancaster,43130,129139,11995396,School District,6330,3392,54.00%,Urban,"$140,793.60",Congressional District 15
201030384,2020,OH,Original,In Window,Certified,Category1,Reynoldsburg City School Dist,7244 E. Main Street,Reynoldsburg,43068,129106,9463969,School District,7095,4012,57.00%,Urban,"$33,984.00",Congressional District 3
201031432,2020,OH,Original,In Window,Certified,Category1,Brookfield Local School Dist,614 Bedford Road Se,Brookfield,44403,129581,12303749,School District,962,503,52.00%,Rural,"$22,299.55",Congressional District 13
201031943,2020,OH,Original,In Window,Certified,Category1,Caldwell Exempted Vlg Sch Dist,516 Fairground St,Caldwell,43724,129332,6858773,School District,833,383,46.00%,Rural,"$22,134.00",Congressional District 6
201012282,2020,OH,Original,In Window,Certified,Category1,Northridge Local S D-Johnstown,6097 Johnstown Utica Rd,Johnstown,43031,129078,12031902,School District,1313,419,32.00%,Rural,"$32,752.80",Congressional District 12
201031920,2020,OH,Original,In Window,Certified,Category1,Bristol Local School District,1845 State Route 88,Bristolville,44402,129580,13074141,School District,505,203,40.00%,Rural,"$15,212.40",Congressional District 14
201030690,2020,OH,Original,In Window,Certified,Category1,Southeast Local School Dist,9048 Dover Rd,Apple Creek,44606,129645,11574654,School District,1413,509,36.00%,Rural,"$54,342.79",Congressional District 16
201030669,2020,OH,Original,In Window,Certified,Category1,Rittman School District,100 Saurer Street,Rittman,44270,129564,11579042,School District,1225,590,48.00%,Urban,"$31,255.20",Congressional District 16
201032155,2020,OH,Original,In Window,Certified,Category1,Lorain County Educational Service Center,1885 Lake Ave,Elyria,44035,129420,11898053,School District,52,47,90.00%,Urban,"$22,500.00",Congressional District 4
201032289,2020,OH,Original,In Window,Certified,Category1,Penta Career Center,9301 Buck Rd,Perrysburg,43551,129294,13099262,School District,1798,641,36.00%,Urban,"$14,883.60",Congressional District 5
201030687,2020,OH,Original,In Window,Certified,Category1,Orrville City School District,815 N Ella St,Orrville,44667,129686,2923506,School District,1818,910,50.00%,Rural,"$33,708.67",Congressional District 16
201032361,2020,OH,Original,In Window,Certified,Category1,Springboro Comm City Sch Dist,1685 S Main Street,Springboro,45066,129821,14131742,School District,6354,443,7.00%,Urban,"$29,925.60",Congressional District 1
201032154,2020,OH,Original,In Window,Certified,Category1,Lorain County Educational Service Center,1885 Lake Ave,Elyria,44035,129420,11898053,School District,52,47,90.00%,Urban,"$5,400.00",Congressional District 4
201032216,2020,OH,Original,In Window,Certified,Category1,National Trail Local School District,6940 Oxford Gettysburg Road,New Paris,45347,200297,4275210,School District,971,357,37.00%,Rural,"$19,404.00",Congressional District 8
201023772,2020,OH,Original,In Window,Certified,Category1,Big Walnut School District,110 Tippett Court,Sunbury,43074,129070,12476602,School District,4398,653,15.00%,Urban,"$21,027.84",Congressional District 12
201000098,2020,OH,Original,In Window,Certified,Category1,Ansonia Local School District,"P.O. Box 279, 600 E Canal St",Ansonia,45303,129900,11992864,School District,723,263,36.00%,Rural,"$11,256.00",Congressional District 8
201000965,2020,OH,Original,In Window,Certified,Category1,Botkins Local School District,404 E State St,Botkins,45306,129904,14245724,School District,653,93,14.00%,Rural,"$11,658.00",Congressional District 4
201000766,2020,OH,Original,In Window,Certified,Category1,Adena Local School District,3367 County Road 550,Frankfort,45628,130012,12087078,School District,1260,525,42.00%,Rural,"$7,112.00",Congressional District 15
201031200,2020,OH,Original,In Window,Certified,Category1,Green Local School District,100 Smithie Drive,Smithville,44677,129689,11745056,School District,1046,280,27.00%,Urban,"$10,438.80",Congressional District 16
201000747,2020,OH,Original,In Window,Certified,Category1,Sylvania School District,7400 Cougar Lane,Sylvania,43560,129301,2915460,School District,7674,1478,19.00%,Urban,"$31,033.01",Congressional District 5
201009032,2020,OH,Original,In Window,Certified,Category1,Granville School District,130 N. Granger St.  P. O. Box 417,Granville,43023,129071,11655735,School District,2663,102,4.00%,Urban,"$23,119.20",Congressional District 12
201013235,2020,OH,Original,In Window,Certified,Category1,Cincinnati City School Dist,"2651 Burnet Avenue, Po Box 5381",Cincinnati,45201,129871,11609062,School District,34823,28336,81.00%,Urban,"$3,155,976.00",Congressional District 1
201012027,2020,OH,Original,In Window,Certified,Category1,Greene County Educational Service Center,360 E Enon Rd,Yellow Springs,45387,129969,11731023,School District,94,62,66.00%,Urban,"$4,560.00",Congressional District 10
201008738,2020,OH,Original,In Window,Certified,Category1,Tecumseh Local School District,9760 W National Rd,New Carlisle,45344,129934,2993277,School District,2981,1717,58.00%,Urban,"$57,945.60",Congressional District 8
201012817,2020,OH,Original,In Window,Certified,Category1,Perrysburg Exempt Vlg Sch Dist,140 E Indiana Ave,Perrysburg,43551,129292,9348863,School District,5170,598,12.00%,Urban,"$31,824.00",Congressional District 5
201009125,2020,OH,Original,In Window,Certified,Category1,Oak Hills Local School Dist,6325 Rapid Run Road,Cincinnati,45233,129897,14091045,School District,7743,1632,21.00%,Urban,"$63,270.18",Congressional District 1
201006930,2020,OH,Original,In Window,Certified,Category1,Holgate Local Schools,801 East Joe E. Brown Avenue,Holgate,43527,129278,12585519,School District,443,119,27.00%,Rural,"$13,078.37",Congressional District 5
201004639,2020,OH,Original,In Window,Certified,Category1,The Graham School District,3950 Indianola Ave,Columbus,43214,16021362,20700969,School District,1057,678,64.00%,Urban,"$39,348.77",Congressional District 12
201013171,2020,OH,Original,In Window,Certified,Category1,Pettisville Local School Dist,232 Summit Street,Pettisville,43553,129295,2916096,School District,533,136,26.00%,Urban,"$11,737.50",Congressional District 5
201011111,2020,OH,Original,In Window,Certified,Category1,The Jewish Education Center Of Cleveland,2030 South Taylor Road,Cleveland Heights,44118,152041,12124897,School District,832,52,6.00%,Urban,"$12,960.00",Congressional District 11
201013194,2020,OH,Original,In Window,Certified,Category1,Northmor Local School District,5247 County Road 29,Galion,44833,129742,12039624,School District,1218,385,32.00%,Rural,"$33,865.20",Congressional District 12
201013483,2020,OH,Original,In Window,Certified,Category1,Lakewood Local School District,525 E Main St,Hebron,43025,129073,13590914,School District,1832,822,45.00%,Urban,"$48,376.80",Congressional District 12
201009028,2020,OH,Original,In Window,Certified,Category1,Gallia County Local Schools,4836 State Route 325,Patriot,45658,130019,11787793,School District,2211,1765,80.00%,Rural,"$115,387.20",Congressional District 6
201010140,2020,OH,Original,In Window,Certified,Category1,Mad River Local School Dist,801 Old Harshman Rd,Dayton,45431,129984,11836020,School District,3716,2103,57.00%,Urban,"$60,672.00",Congressional District 10
201006828,2020,OH,Original,In Window,Certified,Category1,Rolling Hills Local Sch Dist,60851 Southgate Rd,Cambridge,43725,129329,2991362,School District,1695,756,45.00%,Rural,"$75,079.20",Congressional District 6
201000205,2020,OH,Original,In Window,Certified,Category1,Shaker Heights City Sch Dist,15600 Parkland Dr,Shaker Heights,44120,129488,13286810,School District,4882,1326,27.00%,Urban,"$37,943.16",Congressional District 11
201009789,2020,OH,Original,In Window,Certified,Category1,North Fork Local School District,312 Maple Ave,Utica,43080,129116,11928462,School District,1771,500,28.00%,Rural,"$42,991.20",Congressional District 12
201013668,2020,OH,Original,In Window,Certified,Category1,Washington-Nile Local School District,15332 Us Highway 52,West Portsmouth,45663,130051,12282489,School District,1640,1172,71.00%,Rural,"$18,960.00",Congressional District 2
201009119,2020,OH,Original,In Window,Certified,Category1,Mason City School District,211 N East St,Mason,45040,129816,11774460,School District,10381,908,9.00%,Urban,"$26,284.80",Congressional District 1
201004993,2020,OH,Original,In Window,Certified,Category1,Wauseon School District,126 South Fulton Street,Wauseon,43567,129304,11789112,School District,1866,669,36.00%,Rural,"$25,589.93",Congressional District 5
201012728,2020,OH,Original,In Window,Certified,Category1,Mahoning County J V S D,7300 N Palmyra Rd,Canfield,44406,129584,10008381,School District,932,499,54.00%,Urban,"$22,468.61",Congressional District 6
201013888,2020,OH,Original,In Window,Certified,Category1,Mentor School District,6451 Center St,Mentor,44060,129439,11849387,School District,7516,1794,24.00%,Urban,"$73,440.00",Congressional District 14
201008272,2020,OH,Original,In Window,Certified,Category1,Eastern Local School District,1170 Tile Mill Rd,Beaver,45613,130008,12031365,School District,826,741,90.00%,Rural,"$24,570.00",Congressional District 2
201012883,2020,OH,Original,In Window,Certified,Category1,Perrysburg Exempt Vlg Sch Dist,140 E Indiana Ave,Perrysburg,43551,129292,9348863,School District,5170,598,12.00%,Urban,"$32,826.38",Congressional District 5
201008136,2020,OH,Original,In Window,Certified,Category1,Circleville City School Dist,388 Clark Dr,Circleville,43113,129130,5299425,School District,2091,1524,73.00%,Rural,"$24,940.80",Congressional District 15
201009005,2020,OH,Original,In Window,Certified,Category1,Belpre City School District,2014 Rockland Avenue,Belpre,45714,130070,4366209,School District,1119,521,47.00%,Urban,"$31,248.00",Congressional District 6
201013675,2020,OH,Original,In Window,Certified,Category1,Calvert Catholic Schools,152 Madison Street,Tiffin,44883,17010864,26296665,School District,551,93,17.00%,Rural,"$13,080.00",Congressional District 4
201013600,2020,OH,Original,In Window,Certified,Category1,Valley Local School District,1821 State Route 728,Lucasville,45648,130030,12109377,School District,1087,504,46.00%,Rural,"$16,590.00",Congressional District 6
201013310,2020,OH,Original,In Window,Certified,Category1,Scioto Valley Local Sch Dist,1414 Piketon Road,Piketon,45661,130042,13676937,School District,1429,1008,71.00%,Rural,"$36,841.63",Congressional District 2
201008979,2020,OH,Original,In Window,Certified,Category1,Western Brown Local Sch Dist,524 West Main Street,Mount Orab,45154,129857,14293856,School District,2736,1314,48.00%,Rural,"$30,016.06",Congressional District 2
201013914,2020,OH,Original,In Window,Certified,Category1,Madison Local School District,1324 Middletown-Eaton Road,Middletown,45042,129817,2993384,School District,1482,440,30.00%,Rural,"$17,834.40",Congressional District 8
201013593,2020,OH,Original,In Window,Certified,Category1,Ottoville Local School District,650 West Third Street,Ottoville,45876,130152,12035291,School District,444,54,12.00%,Rural,"$8,700.00",Congressional District 5
201014028,2020,OH,Original,In Window,Certified,Category1,Greenville City School Dist,Memorial Hall 215 W 4th Street,Greenville,45331,129923,2917391,School District,2521,1183,47.00%,Rural,"$14,574.00",Congressional District 8
201008295,2020,OH,Original,In Window,Certified,Category1,Madeira City School District,7465 Loannes Dr,Cincinnati,45243,129891,11981511,School District,1466,95,6.00%,Urban,"$12,508.66",Congressional District 2
201009129,2020,OH,Original,In Window,Certified,Category1,Three Rivers School District,401 N Miami Ave,Cleves,45002,129793,2993657,School District,2248,743,33.00%,Rural,"$12,858.34",Congressional District 1
201014096,2020,OH,Original,In Window,Certified,Category1,North Baltimore Local Sch Dist,201 So Main St,N Baltimore,45872,130147,13656038,School District,728,311,43.00%,Rural,"$13,440.00",Congressional District 5
201008312,2020,OH,Original,In Window,Certified,Category1,Miami Trace School District,3818 State Route 41 Nw,Wshngtn Ct Hs,43160,129157,4169827,School District,2774,1149,41.00%,Rural,"$12,490.80",Congressional District 10
201014048,2020,OH,Original,In Window,Certified,Category1,Vantage J V S D,818 N Franklin St,Van Wert,45891,130169,14356117,School District,430,137,32.00%,Rural,"$12,938.11",Congressional District 5
201014346,2020,OH,Original,In Window,Certified,Category1,Archbold Area School District,600 Lafayette St,Archbold,43502,129258,2918662,School District,1236,284,23.00%,Rural,"$18,745.99",Congressional District 5
201010791,2020,OH,Original,In Window,Certified,Category1,River View School District,26496 State Route 60,Warsaw,43844,129362,11930427,School District,2079,1097,53.00%,Rural,"$80,112.00",Congressional District 7
201008340,2020,OH,Original,In Window,Certified,Category1,Teays Valley Local,385 Viking Way,Ashville,43103,129122,7473416,School District,4288,1103,26.00%,Rural,"$57,321.00",Congressional District 15
201000703,2020,OH,Original,In Window,Certified,Category1,Weathersfield School District,1334 Seaborn St,Mineral Ridge,44440,129610,12083838,School District,978,476,49.00%,Urban,"$26,974.80",Congressional District 13
201009030,2020,OH,Original,In Window,Certified,Category1,Graham Local School District,7790 Us Hwy 36w,Saint Paris,43072,129108,10611895,School District,1795,551,31.00%,Rural,"$17,289.58",Congressional District 4
201014288,2020,OH,Original,In Window,Certified,Category1,Springfield Local School Dist,6900 Hall St,Holland,43528,129279,4164612,School District,3609,1439,40.00%,Urban,"$25,207.34",Congressional District 5
201008278,2020,OH,Original,In Window,Certified,Category1,Edgewood City School District,5000 Busenbark Rd,Trenton,45067,129822,3019601,School District,3744,1434,38.00%,Urban,"$42,220.80",Congressional District 8
201014195,2020,OH,Original,In Window,Certified,Category1,Hamilton Local School District,775 Rathmell Road,Columbus,43207,129164,2996031,School District,3024,1740,58.00%,Urban,"$27,667.20",Congressional District 15
201014396,2020,OH,Original,In Window,Certified,Category1,North Royalton City Sch Dist,6579 Royalton Rd,North Royalton,44133,129505,2923688,School District,3998,530,13.00%,Urban,"$18,500.11",Congressional District 16
201014877,2020,OH,Original,In Window,Certified,Category1,Troy Christian School District,700 South Dorset,Troy,45373,17010626,12020897,School District,630,44,7.00%,Urban,"$5,313.55",Congressional District 8
201014637,2020,OH,Original,In Window,Certified,Category1,Jackson Local School District,7602 Fulton Drive Nw,Massillon,44646,129669,8883522,School District,6081,940,15.00%,Urban,"$37,586.40",Congressional District 16
201009859,2020,OH,Original,In Window,Certified,Category1,London City School District,380 Elm Street,London,43140,129147,9988973,School District,2625,763,29.00%,Rural,"$13,413.60",Congressional District 15
201009855,2020,OH,Original,In Window,Certified,Category1,New Boston Local School Dist,1 Glenwood Tiger Trail,New Boston,45662,130049,14269054,School District,455,426,94.00%,Rural,"$24,840.00",Congressional District 2
201014100,2020,OH,Original,In Window,Certified,Category1,Champion Local School District,5976 Mahoning Ave Nw,Warren,44483,129626,12084299,School District,1355,384,28.00%,Urban,$630.00,Congressional District 13
201009041,2020,OH,Original,In Window,Certified,Category1,Gallia-Jackson-Vinton J V S D,351 Buckeye Hills Road,Rio Grande,45674,130054,3018389,School District,528,457,87.00%,Rural,"$21,890.09",Congressional District 6
201010327,2020,OH,Original,In Window,Certified,Category1,Riverside Local School Dist,2096 County Road 24 South,De Graff,43318,129201,7884034,School District,632,284,45.00%,Rural,"$14,851.20",Congressional District 4
201014589,2020,OH,Original,In Window,Certified,Category1,Pleasant Local School District,1107 Owens Road West,Marion,43302,129184,12004222,School District,1374,476,35.00%,Rural,"$18,320.40",Congressional District 12
201014044,2020,OH,Original,In Window,Certified,Category1,Champion Local School District,5976 Mahoning Ave Nw,Warren,44483,129626,12084299,School District,1355,384,28.00%,Urban,"$17,803.50",Congressional District 13
201014773,2020,OH,Original,In Window,Certified,Category1,West Holmes Local School District,28 West Jackson Street,Millersburg,44654,129674,10765345,School District,2087,794,38.00%,Rural,"$100,457.03",Congressional District 7
201010558,2020,OH,Original,In Window,Certified,Category1,Southington School District,2482 State Route 534,Southington,44470,129622,2922540,School District,482,229,48.00%,Rural,"$18,269.24",Congressional District 13
201012203,2020,OH,Original,In Window,Certified,Category1,Fairfield Union Local Sch Dist,6417 Cincinnati-Zanesville Road,Lancaster,43130,129160,2994168,School District,2039,681,33.00%,Rural,"$29,412.00",Congressional District 15
201015097,2020,OH,Original,In Window,Certified,Category1,Oak Hill Union School District,205 Western Avenue,Oak Hill,45656,130039,12827879,School District,1212,743,61.00%,Rural,"$37,920.00",Congressional District 6
201012242,2020,OH,Original,In Window,Certified,Category1,Mariemont City School District,2 Warrior Way,Cincinnati,45227,129880,11800869,School District,1739,99,6.00%,Urban,"$16,074.72",Congressional District 2
201008327,2020,OH,Original,In Window,Certified,Category1,Southeastern Local School Dist,226  Clifton Road,S Charleston,45368,129951,2992139,School District,914,236,26.00%,Rural,"$10,706.40",Congressional District 8
201012328,2020,OH,Original,In Window,Certified,Category1,Southern Ohio Educational Service Center,3321 Airborne Rd,Wilmington,45177,129869,14116990,School District,18,12,67.00%,Rural,"$26,112.00",Congressional District 15
201012355,2020,OH,Original,In Window,Certified,Category1,Sugarcreek Local School Dist,3757 Upper Bellbrook Road,Bellbrook,45305,129903,2993129,School District,2811,350,12.00%,Urban,"$7,137.60",Congressional District 10
201045838,2020,OH,Original,In Window,Certified,Category1,River View School District,26496 State Route 60,Warsaw,43844,129362,11930427,School District,2079,1097,53.00%,Rural,"$92,160.00",Congressional District 7
201014955,2020,OH,Original,In Window,Certified,Category1,Marion Local School District,7956 State Route 119,Maria Stein,45860,130139,5277785,School District,791,20,3.00%,Rural,"$11,400.00",Congressional District 8
201012284,2020,OH,Original,In Window,Certified,Category1,Northwestern Local Schools,5610 Troy Road,Springfield,45502,129993,11929734,School District,1572,530,34.00%,Rural,"$10,706.40",Congressional District 8
201014975,2020,OH,Original,In Window,Certified,Category1,Westerville City School Dist,936 Eastwind Drive,Westerville,43081,129118,2994721,School District,14946,5304,35.00%,Urban,"$54,225.72",Congressional District 3
201014961,2020,OH,Original,In Window,Certified,Category1,Newton Local School District,201 N Long St,Pleasant Hill,45359,129943,2993236,School District,579,128,22.00%,Rural,"$13,680.00",Congressional District 8
201015065,2020,OH,Original,In Window,Certified,Category1,Wheelersburg Local School Dist,620 Center Street,Wheelersburg,45694,130065,12080768,School District,1665,585,35.00%,Urban,"$16,216.20",Congressional District 6
201015239,2020,OH,Original,In Window,Certified,Category1,Swanton Local School District,108 N Main St,Swanton,43558,129299,12690343,School District,1138,459,40.00%,Urban,"$22,740.12",Congressional District 5
201015288,2020,OH,Original,In Window,Certified,Category1,Swanton Local School District,108 N Main St,Swanton,43558,129299,12690343,School District,1138,459,40.00%,Urban,$323.93,Congressional District 5
201012215,2020,OH,Original,In Window,Certified,Category1,Hamilton City School District,533 Dayton St,Hamilton,45011,129803,13024021,School District,9725,6800,70.00%,Urban,"$100,464.00",Congressional District 8
201012183,2020,OH,Original,In Window,Certified,Category1,Butler County Educational Service Center,400 N Erie Blvd Suite A,Hamilton,45011,16050893,12076022,School District,51,27,53.00%,Urban,"$12,576.00",Congressional District 8
201014989,2020,OH,Original,In Window,Certified,Category1,Westerville City School Dist,936 Eastwind Drive,Westerville,43081,129118,2994721,School District,14946,5304,35.00%,Urban,"$52,927.20",Congressional District 3
201015008,2020,OH,Original,In Window,Certified,Category1,West Carrollton City Sch Dist,430 E Pease Ave,Dayton,45449,129987,11931755,School District,3515,2147,61.00%,Urban,"$47,232.00",Congressional District 10
201009105,2020,OH,Original,In Window,Certified,Category1,Johnstown-Monroe Loc Sch Dist,441 S Main St,Johnstown,43031,129077,2995876,School District,1671,342,20.00%,Rural,"$45,194.40",Congressional District 12
201013153,2020,OH,Original,In Window,Certified,Category1,Lakeview Local Schools,300 Hillman Dr,Cortland,44410,129588,13031539,School District,1647,433,26.00%,Urban,"$17,964.00",Congressional District 13
201046530,2020,OH,Original,In Window,Certified,Category1,Sycamore Comm School District,5959 Hagewa Drive,Cincinnati,45242,129890,2995025,School District,5535,755,14.00%,Urban,"$40,904.02",Congressional District 2
201012226,2020,OH,Original,In Window,Certified,Category1,Jefferson Twp Local Sch Dist,2625 S. Union Road,Dayton,45417,129976,11891694,School District,463,427,92.00%,Urban,"$31,482.00",Congressional District 10
201015589,2020,OH,Original,In Window,Certified,Category1,Goshen Local School District,6694 Goshen Rd,Goshen,45122,129843,2993509,School District,2979,1555,52.00%,Rural,"$23,641.54",Congressional District 2
201012258,2020,OH,Original,In Window,Certified,Category1,Miamisburg City School District,540 Park Ave,Miamisburg,45342,129932,12041729,School District,5065,1685,33.00%,Urban,"$56,477.52",Congressional District 10
