Code,StationName,Staffed,StationType,City,State,Zip,Country,Division,PublicPhone,TicketOffice,QuikTrak,MetrolinkTVM,CheckedBaggage,AmtrakExpress,HandleUSMail,Lounge,UnaccompaniedChildren,AdvPayPPO,AmtrakTrains,Non-AmtrakTrains,DedicatedThruway,CoordinatedThruway,OtherTransportation,GroupCity,IATACode,IATAName,NonAmtrakTicketSale,TimeZone,ObserveDayLightSaving,CheckInWService,CheckInWOService,Elevation,Population
CLB,"Columbia, South Carolina",Y,Station Building (with waiting room),Columbia,SC,29201,United States,Southern,803-252-8246,Y,Y,N,Y,Y,Y,N,Y,Y,Y,N,N,N,,,,,Via Rail Canada,E,Y,60,30,193,113542
CLC,"Cadillac, Michigan",N,Curbside Bus Stop only (no shelter),Cadillac,MI,49601-8624,United States,Central,800-231-2222,N,N,N,N,N,N,N,N,Y,N,N,N,Y,,,,,,E,Y,30,30,1318,10300
CLE,"Cleveland, Ohio",Y,Station Building (with waiting room),Cleveland,OH,44114,United States,Central,216-696-5115,Y,Y,N,Y,Y,N,N,Y,Y,Y,N,N,N,,CLX,,,Via Rail Canada,E,Y,60,30,594,573822
CLF,"Clifton Forge, Virginia",N,Station Building (with waiting room),Clifton Forge,VA,24422,United States,Mid-Atlantic,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,N,N,N,,,,,,E,Y,30,30,1058,4040
CLK,"Crater Lake, Oregon",N,Curbside Bus Stop only (no shelter),Crater Lake,OR,97604,United States,Pacific Northwest,800-USA-RAIL,N,N,N,N,N,N,N,N,Y,,,,Y,,,,,,P,Y,15,15,7115,
CLM,"Claremont, California",N,Platform with Shelter,Claremont,CA,91711,United States,Southwest,000-000-0000,N,N,Y,N,N,N,N,N,Y,N,Y,Y,N,N,,,,,P,Y,30,30,1156,110000
CLN,"Clinton, Connecticut",,Pseudo Station,Clinton,CT,06413,United States,Shore Line East,203-777-7433,,N,,,,,,,,,,,,,,,,,E,Y,,,,
CLP,"Culpeper, Virginia",N,Platform only (no shelter),Culpeper,VA,22701,United States,Mid-Atlantic,800-USA-RAIL,N,N,N,N,N,N,N,N,Y,Y,N,N,N,,,,,,E,Y,30,30,415,13011
CLT,"Charlotte, North Carolina",Y,Station Building (with waiting room),Charlotte,NC,28206,United States,Southern,704-378-3762,Y,Y,N,Y,Y,N,N,Y,Y,Y,N,N,N,N,,,,Via Rail Canada,E,Y,60,60,707,630478
CLV,"Cloverdale, California",N,Curbside Bus Stop only (no shelter),Cloverdale,CA,95425,United States,Pacific,000-000-0000,N,N,N,N,N,N,N,N,Y,N,N,Y,N,,,,,,P,Y,30,30,301,3989
CML,"Camarillo, California",N,Platform only (no shelter),Camarillo,CA,93010,United States,Southwest,000-000-0000,N,N,Y,N,N,N,N,N,Y,Y,Y,N,N,N,,,,,P,Y,30,30,150,45000
CMO,"Chemult, Oregon",N,Platform with Shelter,Chemult,OR,97731,United States,Pacific Northwest,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,N,N,Y,N,,,,,P,Y,30,30,4764,437
CNH,"Concord, New Hampshire",N,Station Building (with waiting room),Concord,NH,03301-5064,United States,Northeast,000-000-0000,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,,,,Concord Trailways,E,Y,30,30,239,42970
CNL,"Colonel Allensworth Park, California",N,Platform only (no shelter),Earlimart,CA,93219,United States,Pacific,800-USA-RAIL,N,N,N,N,N,N,N,N,Y,,,,,,,,,,P,Y,30,30,213,
CNV,"Castleton, Vermont",N,Station Building (with waiting room),Castleton,VT,05735-7716,United States,Northeast,800-USA-RAIL,N,N,N,N,N,N,N,N,Y,Y,,,,,,,,,E,Y,30,30,425,
COC,"Corcoran, California",N,Station Building (with waiting room),Corcoran,CA,93212-2445,United States,Pacific,000-000-0000,N,Y,N,N,N,N,N,N,Y,Y,N,N,N,N,,,,,P,Y,30,30,209,14458
COI,"Connersville, Indiana",N,Platform with Shelter,Connersville,IN,47331,United States,Central,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,N,N,N,,,,,,E,Y,30,30,833,15550
COS,"Colorado Springs, Colorado",N,Station Building (with waiting room),Colorado Springs,CO,80903,United States,Central,719-635-1505,N,N,N,N,N,N,N,N,Y,N,N,Y,Y,,,,,Greyhound,M,Y,30,30,6002,290500
COT,"Coatesville, Pennsylvania",N,Platform with Shelter,Coatesville,PA,19320,United States,Mid-Atlantic,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,N,N,N,,,,,,E,Y,30,30,368,11631
COV,"Connellsville, Pennsylvania",N,Platform with Shelter,Connellsville,PA,15425,United States,Mid-Atlantic,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,N,N,N,,,,,,E,Y,30,30,891,11000
COX,"Colfax, California",N,Platform only (no shelter),Colfax,CA,95713,United States,Pacific,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,N,Y,N,N,,,,,P,Y,30,30,2426,971
CPK,"College Park, Maryland",,Pseudo Station,College Park,MD,20740,United States,MARC,800-325-RAIL,,N,,,,,,,,,,,,,,,,,E,Y,,,,
CPN,"Carpinteria, California",N,Platform with Shelter,Carpinteria,CA,93013,United States,Southwest,000-000-0000,N,N,Y,N,N,N,N,N,Y,Y,N,Y,N,N,,,,,P,Y,30,30,20,14600
CRC,"Crescent City, California",N,Curbside Bus Stop only (no shelter),Crescent City,CA,95531,United States,Pacific,800-USA-RAIL,N,N,N,N,N,N,N,N,Y,N,N,N,Y,Y,,,,,P,Y,15,15,1,
CRF,"Crawfordsville, Indiana",N,Platform with Shelter,Crawfordsville,IN,47933,United States,Central,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,CRX,,,,E,Y,30,30,743,15243
CRH,"Cherry Hill, New Jersey",N,Station Building (with waiting room),Cherry Hill,NJ,08002,United States,Northeast,973-275-5555,N,N,N,N,N,N,N,N,Y,N,Y,N,N,,,,,,E,Y,30,30,23,13238
CRM,"Carmel, California",N,Curbside Bus Stop only (no shelter),Carmel,CA,93923-8609,United States,Pacific,000-000-0000,N,N,N,N,N,N,N,N,Y,N,N,Y,Y,,,,,,P,Y,30,30,34,3928
CRN,"Creston, Iowa",N,Platform with Shelter,Creston,IA,50891,United States,Central,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,N,N,N,,,,,,C,Y,30,30,1313,8234
CRT,"Croton Harmon, New York",N,Station Building (with waiting room),Croton-on-Hudson,NY,10520-3054,United States,Northeast,914-271-1594,N,Y,N,N,N,N,N,N,Y,Y,Y,N,N,,,,,Metro-North Railroad,E,Y,30,30,6,7000
CRV,"Carlinville, Illinois",N,Station Building (with waiting room),Carlinville,IL,62626-1625,United States,Central,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,N,N,N,,,,,None,C,Y,30,30,622,5714
CRY,Carry-on Charge,,Pseudo Station,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,
CSN,"Clemson, South Carolina",N,Station Building (with waiting room),Clemson,SC,29631,United States,Southern,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,,,,,E,Y,30,30,721,12444
CTL,"Centralia, Washington",Y,Station Building (with waiting room),Centralia,WA,98531,United States,Pacific Northwest,360-736-8653,Y,N,N,Y,Y,N,N,Y,Y,Y,N,N,N,Y,,CTL,,Via Rail Canada,P,Y,45,30,189,10054
CUA,"Cumberland (Allegany College), Maryland",N,Curbside Bus Stop only (no shelter),Cumberland,MD,21502,United States,Mid-Atlantic,800-USA-RAIL,N,N,N,N,N,N,N,N,Y,,,,Y,,CUX,,,,E,Y,15,15,659,30000
CUM,"Cumberland (Amtrak Station), Maryland",N,Station Building (with waiting room),Cumberland,MD,21502,United States,Mid-Atlantic,800-USA-RAIL,N,N,N,N,N,N,N,N,Y,Y,N,N,Y,,CUX,,,,E,Y,30,30,643,30000
CUT,"Cut Bank, Montana",N,Station Building (with waiting room),Cut Bank,MT,59427-2934,United States,Pacific Northwest,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,,,,,M,Y,30,30,3754,3105
CVD,"Camp Verde, Arizona",N,Curbside Bus Stop only (no shelter),Camp Verde,AZ,86322-5201,United States,Southwest,928-567-4388,N,N,N,N,N,N,N,N,Y,N,N,N,Y,,,,,,M,N,30,30,3187,10610
CVI,"Corvallis, Oregon",N,Station Building (with waiting room),Corvallis,OR,97330,United States,Pacific Northwest,000-000-0000,N,N,N,N,N,N,N,N,Y,N,N,N,Y,,,,,,P,Y,30,30,232,49807
CVJ,"Cave Junction, Oregon",N,Curbside Bus Stop only (no shelter),Cave Junction,OR,97523,United States,Pacific,800-USA-RAIL,N,N,N,N,N,N,N,N,Y,,,N,Y,,,,,,P,Y,15,15,1335,
CVL,"Colville, Washington",N,Curbside Bus Stop only (no shelter),Colville,WA,99114,United States,Pacific Northwest,800-USA-RAIL,N,N,N,N,N,N,N,N,Y,,,,Y,,,,,,P,Y,15,15,1569,
CVS,"Charlottesville, Virginia",Y,Station Building (with waiting room),Charlottesville,VA,22903,United States,Mid-Atlantic,434-296-4559,Y,Y,N,Y,Y,N,N,Y,Y,Y,N,Y,Y,N,,,,Via Rail Canada,E,Y,60,45,488,47049
CWH,"Cornwells Heights, Pennsylvania",N,Platform with Shelter,Cornwells Heights,PA,19020,United States,Northeast,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,,,,,SEPTA,E,Y,30,30,35,3406
CWL,"Chewelah, Washington",N,Curbside Bus Stop only (no shelter),Chewelah,WA,99109,United States,Pacific Northwest,800-USA-RAIL,N,N,N,N,N,N,N,N,Y,,,,Y,,,,,,P,Y,15,15,1668,
CWT,"Chatsworth, California",N,Platform with Shelter,Chatsworth,CA,91311,United States,Southwest,000-000-0000,N,N,Y,N,N,N,N,N,Y,Y,Y,Y,N,N,,,,Metrolink,P,Y,30,30,968,37225
CYN,"Cary, North Carolina",Y,Station Building (with waiting room),Cary,NC,27513,United States,Southern,919-462-6434,Y,Y,N,Y,Y,N,N,Y,Y,Y,N,N,N,,,,,,E,Y,60,45,495,70000
DAL,"Dallas, Texas",Y,Station Building (with waiting room),Dallas,TX,75202-4840,United States,Southwest,214-653-1101,Y,Y,N,Y,Y,N,N,Y,Y,Y,Y,N,Y,,,,,Via Rail Canada,C,Y,60,30,425,2000000
DAM,"Damariscotta, Maine",N,Curbside Bus Stop only (no shelter),Damariscotta,ME,04543-4649,United States,Northeast,207-563-3128,N,N,N,N,N,N,N,N,Y,N,N,N,Y,,,,,Concord Trailways,E,Y,30,30,16,1972
DAN,"Danville, Virginia",N,Station Building (with waiting room),Danville,VA,24541-1503,United States,Southern,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,N,N,N,,,,,,E,Y,30,30,428,45586
DAV,"Davis, California",Y,Station Building (with waiting room),Davis,CA,95616-4624,United States,Pacific,530-758-4220,Y,Y,N,Y,Y,N,N,Y,Y,Y,N,Y,N,N,,,,Via Rail Canada,P,Y,60,30,49,64401
DBP,"Dublin-Pleasanton, California",N,Station Building (with waiting room),Pleasanton,CA,94588-3900,United States,Pacific,000-000-0000,N,N,N,N,N,N,N,N,Y,N,N,Y,Y,,,,,,P,Y,30,30,334,41840
DDE,"Dade City, Florida",N,Curbside Bus Stop only (no shelter),Dade City,FL,33525,United States,Southern,352-567-9982,N,N,N,N,N,N,N,N,Y,N,N,Y,N,,,,,,E,Y,30,30,76,6987
DDG,"Dodge City, Kansas",N,Station Building (with waiting room),Dodge City,KS,67801,United States,Southwest,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,N,N,N,,,,,,C,Y,30,30,2490,27340
DEB,"Denver (Bus Station), Colorado",N,Station Building (with waiting room),Denver,CO,80202,United States,Central,303-293-6555,N,N,N,N,N,N,N,N,Y,N,N,Y,Y,,DEX,,,"Greyhound,Powder Rvr",M,Y,30,30,5219,2000000
DEM,"Deming, New Mexico",N,Platform only (no shelter),Deming,NM,88030,United States,Southwest,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,N,N,N,,,,,,M,Y,30,30,4338,15296
DEN,"Denver, Colorado",Y,Station Building (with waiting room),Denver,CO,80202,United States,Central,303-825-2583,Y,Y,N,Y,Y,N,N,Y,Y,Y,N,Y,Y,Y,DEX,,,Via Rail Canada,M,Y,60,30,5181,467610
DER,"Dearborn, Michigan",Y,Station Building (with waiting room),Dearborn,MI,48126,United States,Central,313-336-5407,Y,Y,N,N,N,N,N,Y,Y,Y,N,Y,N,N,,,,VIA Rail Canada,E,Y,45,30,595,92382
DET,"Detroit, Michigan",Y,Station Building (with waiting room),Detroit,MI,48202,United States,Central,313-873-3442,Y,Y,N,N,N,N,N,Y,Y,Y,N,Y,Y,N,,,,Via Rail Canada,E,Y,45,30,632,871121
DFB,"Deerfield Beach, Florida",Y,Station Building (with waiting room),Deerfield Beach,FL,33442,United States,Southern,954-421-1155,Y,N,N,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,,,,Via Rail Canada,E,Y,60,30,8,64583
DHM,"Durham, New Hampshire",N,Station Building (with waiting room),Durham,NH,03824-1909,United States,Northeast,800-USA-RAIL,N,Y,N,N,N,N,N,N,Y,Y,N,N,N,,,,,,E,Y,30,30,79,9050
DIL,"Dillon, South Carolina",N,Station Building (with waiting room),Dillon,SC,29536,United States,Southern,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,N,N,N,,,,,,E,Y,30,30,115,32300
DKS,"Dickerson, Maryland",,Pseudo Station,Dickerson,MD,20842,United States,MARC,800-325-RAIL,,N,,,,,,,,,,,,,,,,,E,Y,,,,
DLB,"Delray Beach, Florida",N,Platform with Shelter,Delray Beach,FL,33444,United States,Southern,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,Y,,,,,E,Y,30,30,18,60200
DLD,"Deland, Florida",Y,Station Building (with waiting room),Deland,FL,32720-2808,United States,Southern,386-734-2322,Y,Y,N,Y,N,N,N,Y,Y,Y,N,N,Y,N,,,,Via Rail Canada,E,Y,60,30,26,31828
DLK,"Detroit Lakes, Minnesota",N,Station Building (with waiting room),Detroit Lakes,MN,56501,United States,Central,800-USA-RAIL,N,N,N,N,N,N,N,N,Y,Y,N,N,N,,,,,,C,Y,30,30,1363,8141
DNC,"Durham, North Carolina",Y,Station Building (with waiting room),Durham,NC,27701-2887,United States,Southern,919-956-7932,Y,Y,N,Y,Y,N,N,Y,Y,Y,N,N,N,,,,,Via Rail Canada,E,Y,45,30,400,200000
DNK,"Denmark, South Carolina",N,Station Building (with waiting room),Denmark,SC,29042,United States,Southern,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,,,,No,E,Y,30,30,248,7000
DOA,"Dowagiac, Michigan",N,Station Building (with waiting room),Dowagiac,MI,49047-1448,United States,Central,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,N,N,N,,,,,,E,Y,30,30,767,6589
DOV,"Dover, New Hampshire",N,Station Building (with waiting room),Dover,NH,03820-3327,United States,Northeast,800-USA-RAIL,N,Y,N,N,N,N,N,N,Y,Y,N,Y,N,N,,,,,E,Y,30,30,70,28422
DOW,"Downingtown, Pennsylvania",N,Platform with Shelter,Downingtown,PA,19335,United States,Mid-Atlantic,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,,,,,,E,Y,30,30,260,7885
DPK,"Deer Park, Washington",N,Curbside Bus Stop only (no shelter),Deer Park,WA,99006,United States,Pacific Northwest,800-USA-RAIL,N,N,N,N,N,N,N,N,Y,,,,Y,,,,,,P,Y,15,15,2104,
DQN,"Du Quoin, Illinois",N,Station Building (with waiting room),Du Quoin,IL,62832-1602,United States,Central,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,N,N,N,,,,,,C,Y,30,30,464,6427
DRD,"Durand, Michigan",N,Station Building (with waiting room),Durand,MI,48429-1713,United States,Central,000-000-0000,N,Y,N,N,N,N,N,N,Y,Y,Y,N,N,N,,,,,E,Y,30,30,795,3678
DRS,"Dorsey, Maryland",,Pseudo Station,Elkridge,MD,21075,United States,MARC,800-325-RAIL,,Y,,,,,,,,,,,,,,,,,E,Y,,,,
DRT,"Del Rio, Texas",N,Station Building (with waiting room),Del Rio,TX,78840,United States,Southwest,830-775-8906,N,N,N,N,N,N,N,N,Y,Y,N,N,N,,,,,,C,Y,30,30,962,37500
DUF,"Duffields, West Virginia",,Pseudo Station,Duffields,WV,25414,United States,MARC,800-325-RAIL,,N,,,,,,,,,,,,,,,,,E,Y,,,,
DUK,"Dunkirk, New York",N,Curbside Bus Stop only (no shelter),Dunkirk,NY,14048,United States,Northeast,716-366-2611,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,,,,,E,Y,30,30,600,12300
DUL,"Duluth (Greyhound Station), Minnesota",N,Station Building (with waiting room),Duluth,MN,55806,United States,Central,218-722-5591,N,N,N,N,N,N,N,N,Y,N,N,N,Y,Y,,,,Greyhound,C,Y,30,30,634,85000
DUN,"Dunsmuir, California",N,Station Building (with waiting room),Dunsmuir,CA,96025-2024,United States,Pacific,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,,,,,P,Y,30,30,2307,1836
DUU,"Duluth (University of Minnesota), Minnesota",N,Curbside Bus Stop only (no shelter),Duluth,MN,55812,United States,Central,218-726-6717,N,N,N,N,N,N,N,N,Y,N,N,N,Y,Y,,,,Jefferson Bus Ticket,C,Y,30,30,1108,85000
DVI,"Danville, Illinois",N,Curbside Bus Stop only (no shelter),Danville,IL,61834-9378,United States,Central,000-000-0000,N,N,N,N,N,N,N,N,Y,N,N,N,Y,,,,,,C,Y,30,30,659,32760
DVL,"Devils Lake, North Dakota",N,Station Building (with waiting room),Devils Lake,ND,58301,United States,Central,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,N,N,N,,,,,,C,Y,30,30,1467,6708
DVP,"Davenport, Iowa",N,Station Building (with waiting room),Davenport,IA,52801,United States,Central,000-000-0000,N,N,N,N,N,N,N,N,Y,N,N,N,Y,,,,,,C,Y,30,30,565,99514
DVR,"Dover, Delaware",N,Station Building (with waiting room),Dover,DE,19904-4106,United States,Mid-Atlantic,302-736-5183,N,N,N,N,N,N,N,N,Y,N,N,N,Y,,,,,Greyhound,E,Y,30,30,30,34735
DWT,"Dwight, Illinois",N,Station Building (with waiting room),Dwight,IL,60420-1321,United States,Central,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,N,N,N,,,,,,C,Y,30,30,634,4500
DYA,"Daytona Beach, Florida",N,Curbside Bus Stop only (no shelter),Daytona Beach,FL,32118-4273,United States,Southern,000-000-0000,N,N,N,N,N,N,N,N,Y,N,N,Y,Y,,,,,,E,Y,30,30,18,64183
DYE,"Dyer, Indiana",N,Platform with Shelter,Dyer,IN,46311,United States,Central,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,N,N,N,,,,,,C,Y,30,30,624,10923
EDG,"Edgewood, Maryland",,Pseudo Station,Edgewood,MD,21040,United States,MARC,800-325-RAIL,,Y,,,,,,,,,,,,,,,,,E,Y,,,,
EDM,"Edmonds, Washington",Y,Station Building (with waiting room),Edmonds,WA,98020-4132,United States,Pacific Northwest,425-778-3213,Y,Y,N,Y,Y,N,N,Y,Y,Y,N,N,N,N,,,,Via Rail Canada,P,Y,60,30,9,32000
EFG,"Effingham, Illinois",N,Station Building (with waiting room),Effingham,IL,62401-3772,United States,Central,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,N,N,N,,,,,,C,Y,30,30,594,34000
EGH,"Egg Harbor City, New Jersey",N,Platform with Shelter,Egg Harbor City,NJ,08215,United States,Northeast,973-275-5555,N,N,N,N,N,N,N,N,Y,N,Y,N,N,,,,,,E,Y,30,30,59,4454
EKA,"Eureka, California",N,Curbside Bus Stop only (no shelter),Eureka,CA,95501,United States,Pacific,000-000-0000,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,,,,,P,Y,30,30,20,25700
EKG,"Elk Grove, California",N,Curbside Bus Stop only (no shelter),Elk Grove,CA,95758,United States,Pacific,000-000-0000,N,N,N,N,N,N,N,N,Y,N,N,Y,N,Y,,,,,P,Y,30,30,17,59854
EKH,"Elkhart, Indiana",N,Station Building (with waiting room),Elkhart,IN,46515,United States,Central,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,N,N,N,,,,,,E,Y,30,30,752,43627
ELK,"Elko, Nevada",N,Platform with Shelter,Elko,NV,89801,United States,Pacific,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,,,,,P,Y,30,30,5063,21500
ELP,"El Paso, Texas",Y,Station Building (with waiting room),El Paso,TX,79901,United States,Southwest,915-545-2247,Y,N,N,Y,Y,N,N,Y,Y,Y,N,N,N,N,,,,Via Rail Canada,M,Y,60,30,3724,609415
ELS,"Elsie, Oregon",N,Curbside Bus Stop only (no shelter),Elsie,OR,97138-6162,United States,Pacific Northwest,503-755-1818,N,N,N,N,N,N,N,N,Y,N,N,Y,N,,,,,"Driver, bus only",P,Y,15,15,450,1200
ELT,"Elizabethtown, Pennsylvania",N,Station Building (with waiting room),Elizabethtown,PA,17022,United States,Mid-Atlantic,000-000-0000,N,Y,N,N,N,N,N,N,Y,Y,N,N,N,,,,,,E,Y,30,30,481,11897
ELY,"Elyria, Ohio",N,Station Building (with waiting room),Elyria,OH,44035,United States,Central,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,N,N,N,,,,,,E,Y,30,30,728,56746
EMI,"Escanaba, Michigan",N,Curbside Bus Stop only (no shelter),Escanaba,MI,49829,United States,Central,000-000-0000,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,,,,,E,Y,30,30,630,12575
EMY,"Emeryville, California",Y,Station Building (with waiting room),Emeryville,CA,94608-2037,United States,Pacific,510-450-1081,Y,Y,N,Y,Y,N,N,Y,Y,Y,N,Y,N,Y,,,,Via Rail Canada,P,Y,60,45,14,8751
EPH,"Ephrata (Train), Washington",N,Platform with Shelter,Ephrata,WA,98823-2421,United States,Pacific Northwest,800-USA-RAIL,N,N,N,N,N,N,N,N,Y,Y,,N,N,Y,,,,,P,Y,30,30,1275,5359
EPL,"El Portal, California",N,Curbside Bus Stop only (no shelter),El Portal,CA,95318-0169,United States,Pacific,000-000-0000,N,N,N,N,N,N,N,N,Y,N,N,Y,Y,,,,,,P,Y,30,30,2096,635
EPR,"Ephrata (Bus), Washington",N,Curbside Bus Stop only (no shelter),Ephrata,WA,98823-2151,United States,Pacific Northwest,800-USA-RAIL,N,N,N,N,N,N,N,N,Y,N,,,Y,,EPX,,,NW Trailways only,P,Y,30,30,1250,
ERI,"Erie, Pennsylvania",N,Station Building (with waiting room),Erie,PA,16501,United States,Northeast,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,N,N,N,,,,,,E,Y,30,30,688,110000
ESG,"El Segundo, California",N,Curbside Bus Stop only (no shelter),El Segundo,CA,90245,United States,Southwest,800-872-7245,N,N,N,N,N,N,N,N,Y,,,Y,,,,,,,P,Y,15,15,90,
ESM,"Essex, Montana",N,Platform only (no shelter),Essex,MT,59916-9710,United States,Pacific Northwest,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,,,,,M,Y,30,30,3908,10
ESN,"Easton, Maryland",N,Curbside Bus Stop only (no shelter),Easton,MD,21601,United States,Mid-Atlantic,410-822-5444,N,N,N,N,N,N,N,N,Y,,,,Y,,,,,,E,Y,15,15,70,
ESX,"Essex Junction, Vermont",N,Station Building (with waiting room),Essex Junction,VT,05452,United States,Northeast,802-879-7298,N,N,N,N,N,N,N,N,Y,Y,N,N,N,,,,,,E,Y,30,30,355,19264
EUC,"Eau Claire, Wisconsin",N,Curbside Bus Stop only (no shelter),Eau Claire,WI,54701,United States,Central,800-USA-RAIL,N,N,N,N,N,N,N,N,Y,N,N,N,Y,,,,,,C,Y,30,30,786,56161
EUG,"Eugene, Oregon",Y,Station Building (with waiting room),Eugene,OR,97401-2613,United States,Pacific Northwest,541-687-1383,Y,Y,N,Y,Y,N,N,Y,Y,Y,N,Y,Y,N,,,,Via Rail Canada,P,Y,45,30,429,146356
EUO,"Eugene (University of Oregon), Oregon",N,Curbside Bus Stop only (no shelter),Eugene,OR,97402,United States,Pacific Northwest,000-000-0000,N,N,N,N,N,N,N,N,Y,N,N,Y,N,,,,,,P,Y,15,15,464,146356
EVR,"Everett, Washington",Y,Station Building (with waiting room),Everett,WA,98201,United States,Pacific Northwest,425-258-2458,Y,Y,N,Y,N,N,N,Y,Y,Y,N,N,Y,N,,,,No,P,Y,60,30,60,82500
EWR,"Newark Liberty International Airport, New Jersey",Y,Station Building (with waiting room),Newark,NJ,07114-3401,United States,Northeast,000-000-0000,Y,Y,N,N,N,N,N,N,Y,Y,Y,N,N,Y,,,,Yes,E,Y,30,30,9,281402
EXC,Exchange,,Pseudo Station,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,
EXP,Express,,Pseudo Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXR,"Exeter, New Hampshire",N,Platform with Shelter,Exeter,NH,03833,United States,Northeast,800-USA-RAIL,N,Y,N,N,N,N,N,N,Y,Y,N,N,N,,,,,,E,Y,30,30,52,10500
EXT,"Exton, Pennsylvania",N,Platform with Shelter,Exton,PA,19341,United States,Mid-Atlantic,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,,,,,,E,Y,30,30,385,4267
FAR,"Fargo, North Dakota",Y,Station Building (with waiting room),Fargo,ND,58102,United States,Central,701-232-2197,Y,N,N,Y,Y,N,N,N,Y,Y,N,N,N,,,,,Via Rail Canada,C,Y,60,30,902,93531
FAY,"Fayetteville, North Carolina",Y,Station Building (with waiting room),Fayetteville,NC,28301-5563,United States,Southern,910-483-2658,Y,Y,N,Y,Y,N,N,Y,Y,Y,N,N,N,N,,,,Via Rail Canada,E,Y,60,60,102,77800
FBG,"Fredericksburg, Virginia",N,Platform with Shelter,Fredericksburg,VA,22401-6067,United States,Mid-Atlantic,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,N,N,N,,,,,,E,Y,30,30,47,190000
FDL,"Fond du Lac, Wisconsin",N,Curbside Bus Stop only (no shelter),Fond du Lac,WI,54935-4705,United States,Central,920-921-4215,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,,,,Greyhound/Lamers,C,Y,30,30,791,42341
FDN,"Fredonia, New York",N,Curbside Bus Stop only (no shelter),Fredonia,NY,14063,United States,Northeast,000-000-0000,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,,,,,E,Y,30,30,681,11127
FED,"Fort Edward-Glens Falls, New York",N,Platform only (no shelter),Fort Edward,NY,12828,United States,Northeast,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,,,,NO,E,Y,30,30,142,3700
FGG,"Flagstaff (Greyhound), Arizona",N,Station Building (with waiting room),Flagstaff,AZ,86001-5843,United States,Southwest,928-774-4573,N,N,N,N,N,N,N,N,Y,N,N,N,Y,,FLX,,,,M,N,30,30,6895,58213
FHD,"Fort Hood, Texas",N,Curbside Bus Stop only (no shelter),Fort Hood,TX,76544,United States,Southwest,800-USA-RAIL,N,N,N,N,N,N,N,N,Y,N,N,Y,N,,,,,,C,Y,30,30,949,33700
FIL,"Fillmore, California",N,Curbside Bus Stop only (no shelter),Fillmore,CA,93015-1835,United States,Southwest,000-000-0000,N,N,N,N,N,N,N,N,Y,N,N,Y,Y,,,,,,P,Y,30,30,437,9602
FIN,Group Final,,Pseudo Station,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,
FLG,"Flagstaff, Arizona",Y,Station Building (with waiting room),Flagstaff,AZ,86001-5530,United States,Southwest,928-774-8679,Y,Y,N,Y,Y,N,N,Y,Y,Y,N,N,Y,,FLX,,,Via Rail Canada,M,N,60,30,6904,50700
